datetime,gpu_id,gpu_name,memory_used_mb,memory_total_mb,memory_free_mb,memory_used_percent,gpu_utilization,temperature,power_draw
2025-07-03T13:14:17.053489,0,NVIDIA GeForce RTX 4080 Laptop GPU,10,12282,11993,0.08,0,42,588.21
2025-07-03T13:14:27.080737,0,NVIDIA GeForce RTX 4080 Laptop GPU,2816,12282,9188,22.93,4,44,17.95
2025-07-03T13:14:37.112853,0,NVIDIA GeForce RTX 4080 Laptop GPU,5266,12282,6738,42.88,30,49,22.52
2025-07-03T13:14:47.140774,0,NVIDIA GeForce RTX 4080 Laptop GPU,5290,12282,6714,43.07,70,54,74.74
2025-07-03T13:14:57.173596,0,NVIDIA GeForce RTX 4080 Laptop GPU,5290,12282,6714,43.07,70,56,75.47
2025-07-03T13:15:07.213816,0,NVIDIA GeForce RTX 4080 Laptop GPU,5290,12282,6714,43.07,63,58,74.57
2025-07-03T13:15:17.238697,0,NVIDIA GeForce RTX 4080 Laptop GPU,5290,12282,6714,43.07,72,61,75.39
2025-07-03T13:15:27.269815,0,NVIDIA GeForce RTX 4080 Laptop GPU,5290,12282,6714,43.07,73,62,75.66
2025-07-03T13:15:37.294923,0,NVIDIA GeForce RTX 4080 Laptop GPU,5290,12282,6714,43.07,69,64,75.48
2025-07-03T13:15:47.319482,0,NVIDIA GeForce RTX 4080 Laptop GPU,5290,12282,6714,43.07,66,63,75.81
2025-07-03T13:15:57.345640,0,NVIDIA GeForce RTX 4080 Laptop GPU,5290,12282,6714,43.07,71,63,74.82
2025-07-03T13:16:07.372818,0,NVIDIA GeForce RTX 4080 Laptop GPU,5292,12282,6712,43.09,71,65,74.69
2025-07-03T13:16:17.400230,0,NVIDIA GeForce RTX 4080 Laptop GPU,5292,12282,6712,43.09,73,65,77.47
2025-07-03T13:16:27.426478,0,NVIDIA GeForce RTX 4080 Laptop GPU,5292,12282,6712,43.09,68,65,76.39
2025-07-03T13:16:37.458782,0,NVIDIA GeForce RTX 4080 Laptop GPU,5290,12282,6714,43.07,69,67,74.84
2025-07-03T13:16:47.487163,0,NVIDIA GeForce RTX 4080 Laptop GPU,5292,12282,6712,43.09,62,67,77.08
2025-07-03T13:16:57.513956,0,NVIDIA GeForce RTX 4080 Laptop GPU,5292,12282,6712,43.09,68,67,76.88
2025-07-03T13:17:07.540781,0,NVIDIA GeForce RTX 4080 Laptop GPU,5290,12282,6714,43.07,63,67,75.07
