datetime,gpu_id,gpu_name,memory_used_mb,memory_total_mb,memory_free_mb,memory_used_percent,gpu_utilization,temperature,power_draw
2025-07-03T13:39:48.198178,0,NVIDIA GeForce RTX 4080 Laptop GPU,10,12282,11993,0.08,0,41,588.21
2025-07-03T13:39:58.223427,0,NVIDIA GeForce RTX 4080 Laptop GPU,3496,12282,8507,28.46,4,42,18.78
2025-07-03T13:40:08.248542,0,NVIDIA GeForce RTX 4080 Laptop GPU,5264,12282,6740,42.86,41,45,44.11
2025-07-03T13:40:18.277187,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,39,47,38.43
2025-07-03T13:40:28.312479,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,32,48,35.21
2025-07-03T13:40:38.339215,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,39,49,31.45
2025-07-03T13:40:48.365816,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,34,51,36.72
2025-07-03T13:40:58.393081,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,30,53,43.02
2025-07-03T13:41:08.441728,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,35,55,51.45
2025-07-03T13:41:18.473063,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,36,57,55.13
2025-07-03T13:41:28.499693,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,39,57,55.97
2025-07-03T13:41:38.535953,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,35,58,53.0
2025-07-03T13:41:48.569438,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,32,58,54.7
2025-07-03T13:41:58.599309,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,41,59,55.9
2025-07-03T13:42:08.630810,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,42,60,56.61
2025-07-03T13:42:18.659961,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,37,60,55.26
2025-07-03T13:42:28.685233,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,36,59,48.08
2025-07-03T13:42:38.715041,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,36,60,52.97
2025-07-03T13:42:48.751273,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,34,60,53.68
2025-07-03T13:42:58.780728,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,37,59,44.01
2025-07-03T13:43:08.807962,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,36,59,39.77
2025-07-03T13:43:18.834613,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,43,59,43.66
2025-07-03T13:43:28.867026,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,31,59,36.5
2025-07-03T13:43:38.898875,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,34,58,32.72
2025-07-03T13:43:48.930227,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,33,57,32.89
2025-07-03T13:43:58.955907,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,44,58,36.01
2025-07-03T13:44:08.986582,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,36,58,37.58
2025-07-03T13:44:19.011692,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,36,59,46.07
2025-07-03T13:44:29.037550,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,43,60,49.01
2025-07-03T13:44:39.074811,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,38,59,41.67
2025-07-03T13:44:49.105712,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,38,60,53.43
2025-07-03T13:44:59.131307,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,33,60,57.92
2025-07-03T13:45:09.160615,0,NVIDIA GeForce RTX 4080 Laptop GPU,5288,12282,6716,43.05,36,61,58.57
2025-07-03T13:45:13.115227,0,NVIDIA GeForce RTX 4080 Laptop GPU,4916,12282,7087,40.03,0,57,20.14
