datetime,gpu_id,gpu_name,memory_used_mb,memory_total_mb,memory_free_mb,memory_used_percent,gpu_utilization,temperature,power_draw
2025-07-03T22:24:48.348716,0,NVIDIA GeForce RTX 4080 Laptop GPU,5620,12282,6383,45.76,0,49,3.51
2025-07-03T22:24:58.372877,0,NVIDIA GeForce RTX 4080 Laptop GPU,5897,12282,6107,48.01,0,51,18.71
2025-07-03T22:25:08.399376,0,NVIDIA GeForce RTX 4080 Laptop GPU,11031,12282,972,89.81,1,51,19.32
2025-07-03T22:25:18.426330,0,NVIDIA GeForce RTX 4080 Laptop GPU,5575,12282,6428,45.39,34,55,49.45
2025-07-03T22:25:28.453929,0,NVIDIA GeForce RTX 4080 Laptop GPU,5575,12282,6428,45.39,28,56,40.94
2025-07-03T22:25:38.481195,0,NVIDIA GeForce RTX 4080 Laptop GPU,5575,12282,6428,45.39,42,59,51.48
2025-07-03T22:25:48.501375,0,NVIDIA GeForce RTX 4080 Laptop GPU,5575,12282,6428,45.39,34,57,54.59
2025-07-03T22:25:58.529477,0,NVIDIA GeForce RTX 4080 Laptop GPU,5575,12282,6428,45.39,41,60,56.32
2025-07-03T22:26:08.562300,0,NVIDIA GeForce RTX 4080 Laptop GPU,5575,12282,6428,45.39,30,57,45.72
2025-07-03T22:26:18.588435,0,NVIDIA GeForce RTX 4080 Laptop GPU,5575,12282,6428,45.39,36,58,54.89
2025-07-03T22:26:28.614129,0,NVIDIA GeForce RTX 4080 Laptop GPU,5601,12282,6402,45.6,34,58,42.56
2025-07-03T22:26:38.639990,0,NVIDIA GeForce RTX 4080 Laptop GPU,5599,12282,6404,45.59,45,57,37.13
2025-07-03T22:26:48.669413,0,NVIDIA GeForce RTX 4080 Laptop GPU,5599,12282,6404,45.59,33,58,40.55
2025-07-03T22:26:58.696030,0,NVIDIA GeForce RTX 4080 Laptop GPU,5599,12282,6404,45.59,31,59,53.14
2025-07-03T22:27:08.722032,0,NVIDIA GeForce RTX 4080 Laptop GPU,5599,12282,6404,45.59,36,58,50.49
2025-07-03T22:27:18.747347,0,NVIDIA GeForce RTX 4080 Laptop GPU,5599,12282,6404,45.59,37,59,48.31
2025-07-03T22:27:28.783851,0,NVIDIA GeForce RTX 4080 Laptop GPU,5599,12282,6404,45.59,28,59,53.15
2025-07-03T22:27:38.818883,0,NVIDIA GeForce RTX 4080 Laptop GPU,5599,12282,6404,45.59,29,59,53.24
2025-07-03T22:27:48.845444,0,NVIDIA GeForce RTX 4080 Laptop GPU,5601,12282,6402,45.6,32,62,54.48
2025-07-03T22:27:58.871284,0,NVIDIA GeForce RTX 4080 Laptop GPU,5601,12282,6402,45.6,34,60,50.86
2025-07-03T22:28:08.903876,0,NVIDIA GeForce RTX 4080 Laptop GPU,5599,12282,6404,45.59,32,60,52.03
