datetime,gpu_id,gpu_name,memory_used_mb,memory_total_mb,memory_free_mb,memory_used_percent,gpu_utilization,temperature,power_draw
2025-07-09T21:47:13.545803,0,NVIDIA GeForce RTX 4080 Laptop GPU,13,12282,11990,0.11,0,51,3.46
2025-07-09T21:47:23.572744,0,NVIDIA GeForce RTX 4080 Laptop GPU,290,12282,11714,2.36,0,53,18.75
2025-07-09T21:47:33.599136,0,NVIDIA GeForce RTX 4080 Laptop GPU,5372,12282,6631,43.74,4,54,19.49
2025-07-09T21:47:43.631283,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,39,57,42.54
2025-07-09T21:47:53.661096,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,39,57,39.44
2025-07-09T21:48:03.692776,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,30,61,53.83
2025-07-09T21:48:13.720407,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,34,59,40.88
2025-07-09T21:48:23.747098,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,44,59,40.29
2025-07-09T21:48:33.774649,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,38,59,39.49
2025-07-09T21:48:43.802477,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,36,61,57.24
2025-07-09T21:48:53.828268,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,33,60,45.51
2025-07-09T21:49:03.853888,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,32,61,46.9
2025-07-09T21:49:13.884500,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,36,64,55.6
2025-07-09T21:49:23.910973,0,NVIDIA GeForce RTX 4080 Laptop GPU,5547,12282,6457,45.16,29,62,53.93
2025-07-09T21:49:33.948635,0,NVIDIA GeForce RTX 4080 Laptop GPU,5545,12282,6459,45.15,34,61,40.84
2025-07-09T21:49:43.975507,0,NVIDIA GeForce RTX 4080 Laptop GPU,5545,12282,6459,45.15,42,61,37.47
2025-07-09T21:49:54.013152,0,NVIDIA GeForce RTX 4080 Laptop GPU,5545,12282,6459,45.15,23,61,38.98
2025-07-09T21:50:04.039776,0,NVIDIA GeForce RTX 4080 Laptop GPU,5545,12282,6459,45.15,39,62,52.57
2025-07-09T21:50:14.064992,0,NVIDIA GeForce RTX 4080 Laptop GPU,5545,12282,6459,45.15,39,63,44.09
