datetime,gpu_id,gpu_name,memory_used_mb,memory_total_mb,memory_free_mb,memory_used_percent,gpu_utilization,temperature,power_draw
2025-07-08T19:06:12.882997,0,NVIDIA GeForce RTX 4080 Laptop GPU,13,12282,11990,0.11,0,44,3.37
2025-07-08T19:06:22.911641,0,NVIDIA GeForce RTX 4080 Laptop GPU,508,12282,11496,4.14,3,46,18.46
2025-07-08T19:06:32.940627,0,NVIDIA GeForce RTX 4080 Laptop GPU,5389,12282,6615,43.88,4,47,22.08
2025-07-08T19:06:42.966186,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,40,50,39.02
2025-07-08T19:06:52.995831,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,37,51,30.62
2025-07-08T19:07:03.029270,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,40,54,45.27
2025-07-08T19:07:13.065366,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,32,53,39.2
2025-07-08T19:07:23.091383,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,35,55,40.65
2025-07-08T19:07:33.116647,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,45,53,32.51
2025-07-08T19:07:43.143698,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,32,55,47.77
2025-07-08T19:07:53.170387,0,NVIDIA GeForce RTX 4080 Laptop GPU,5521,12282,6483,44.95,43,57,47.97
2025-07-08T19:08:03.208524,0,NVIDIA GeForce RTX 4080 Laptop GPU,5545,12282,6459,45.15,35,56,53.29
2025-07-08T19:08:13.234514,0,NVIDIA GeForce RTX 4080 Laptop GPU,5545,12282,6459,45.15,33,56,47.1
2025-07-08T19:08:23.266928,0,NVIDIA GeForce RTX 4080 Laptop GPU,5545,12282,6459,45.15,33,57,50.84
2025-07-08T19:08:33.295388,0,NVIDIA GeForce RTX 4080 Laptop GPU,5545,12282,6459,45.15,32,58,53.89
