datetime,gpu_id,gpu_name,memory_used_mb,memory_total_mb,memory_free_mb,memory_used_percent,gpu_utilization,temperature,power_draw
2025-08-01T00:56:12.900022,0,NVIDIA GeForce RTX 4080 Laptop GPU,5129,12282,6874,41.76,0,58,19.78
2025-08-01T00:56:22.925493,0,NVIDIA GeForce RTX 4080 Laptop GPU,5406,12282,6598,44.02,0,56,19.32
2025-08-01T00:56:32.952324,0,NVIDIA GeForce RTX 4080 Laptop GPU,5380,12282,6624,43.8,0,55,26.95
2025-08-01T00:56:42.977733,0,NVIDIA GeForce RTX 4080 Laptop GPU,5407,12282,6597,44.02,57,63,72.97
2025-08-01T00:56:53.006162,0,NVIDIA GeForce RTX 4080 Laptop GPU,5537,12282,6467,45.08,56,60,74.03
2025-08-01T00:57:03.029902,0,NVIDIA GeForce RTX 4080 Laptop GPU,5537,12282,6467,45.08,52,61,75.28
2025-08-01T00:57:13.053843,0,NVIDIA GeForce RTX 4080 Laptop GPU,5537,12282,6467,45.08,64,63,73.62
2025-08-01T00:57:23.082877,0,NVIDIA GeForce RTX 4080 Laptop GPU,5537,12282,6467,45.08,51,70,69.95
2025-08-01T00:57:33.109386,0,NVIDIA GeForce RTX 4080 Laptop GPU,5537,12282,6467,45.08,61,62,72.73
2025-08-01T00:57:43.137574,0,NVIDIA GeForce RTX 4080 Laptop GPU,5537,12282,6467,45.08,58,65,77.4
2025-08-01T00:57:53.163629,0,NVIDIA GeForce RTX 4080 Laptop GPU,5537,12282,6467,45.08,65,64,76.89
2025-08-01T00:58:03.189596,0,NVIDIA GeForce RTX 4080 Laptop GPU,5537,12282,6467,45.08,55,63,76.1
2025-08-01T00:58:13.216460,0,NVIDIA GeForce RTX 4080 Laptop GPU,5537,12282,6467,45.08,54,67,75.55
2025-08-01T00:58:23.249562,0,NVIDIA GeForce RTX 4080 Laptop GPU,5537,12282,6467,45.08,54,67,72.55
2025-08-01T00:58:33.284957,0,NVIDIA GeForce RTX 4080 Laptop GPU,5537,12282,6467,45.08,39,62,69.69
2025-08-01T00:58:43.311901,0,NVIDIA GeForce RTX 4080 Laptop GPU,5537,12282,6467,45.08,60,63,77.44
2025-08-01T00:58:53.339978,0,NVIDIA GeForce RTX 4080 Laptop GPU,5537,12282,6467,45.08,58,64,75.45
2025-08-01T00:59:03.364760,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,54,62,72.89
2025-08-01T00:59:13.392380,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,66,69,75.82
2025-08-01T00:59:23.419571,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,64,62,72.87
2025-08-01T00:59:33.444585,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,55,64,72.45
2025-08-01T00:59:43.475349,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,56,69,70.67
2025-08-01T00:59:53.501173,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,65,63,74.54
2025-08-01T01:00:03.525686,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,55,66,65.85
2025-08-01T01:00:13.551226,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,56,63,76.35
2025-08-01T01:00:23.576777,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,58,64,74.23
2025-08-01T01:00:33.605903,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,52,69,75.39
2025-08-01T01:00:43.640692,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,51,62,72.7
2025-08-01T01:00:53.667141,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,51,67,71.28
2025-08-01T01:01:03.691697,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,58,62,77.28
2025-08-01T01:01:13.718768,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,52,65,76.71
2025-08-01T01:01:23.744332,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,56,62,68.97
2025-08-01T01:01:33.769201,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,55,62,76.98
2025-08-01T01:01:43.795210,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,59,62,76.36
2025-08-01T01:01:53.820509,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,54,62,72.73
2025-08-01T01:02:03.844953,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,53,67,70.07
2025-08-01T01:02:13.870578,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,58,63,74.73
2025-08-01T01:02:23.897905,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,64,62,74.23
2025-08-01T01:02:33.923089,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,50,62,72.77
2025-08-01T01:02:43.949015,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,63,65,73.63
2025-08-01T01:02:53.975196,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,51,68,72.43
2025-08-01T01:03:04.001818,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,60,65,74.97
2025-08-01T01:03:14.027673,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,56,64,71.04
2025-08-01T01:03:24.053156,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,63,62,74.47
2025-08-01T01:03:34.069840,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,51,62,73.46
2025-08-01T01:03:44.095890,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,65,70,70.29
2025-08-01T01:03:54.120671,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,49,62,73.82
2025-08-01T01:04:04.145284,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,63,62,73.95
2025-08-01T01:04:14.209944,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,67,62,77.23
2025-08-01T01:04:24.235254,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,56,64,68.93
2025-08-01T01:04:34.260686,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,55,61,71.46
2025-08-01T01:04:44.286625,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,58,62,70.64
2025-08-01T01:04:54.311400,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,54,66,75.04
2025-08-01T01:05:04.336270,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,58,62,74.47
2025-08-01T01:05:14.395711,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,68,61,72.03
2025-08-01T01:05:24.421804,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,66,62,74.46
2025-08-01T01:05:34.450062,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,66,66,72.66
2025-08-01T01:05:44.471200,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,53,61,71.21
2025-08-01T01:05:54.498300,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,49,67,71.68
2025-08-01T01:06:04.567573,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,64,62,77.85
2025-08-01T01:06:14.596928,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,33,60,42.92
2025-08-01T01:06:24.614802,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,55,63,72.43
2025-08-01T01:06:34.639357,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,50,61,74.91
2025-08-01T01:06:44.662658,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,57,61,71.19
2025-08-01T01:06:54.687845,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,58,62,77.57
2025-08-01T01:07:04.747507,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,65,62,78.52
2025-08-01T01:07:14.774549,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,62,61,76.67
2025-08-01T01:07:24.794218,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,55,62,70.22
2025-08-01T01:07:34.828860,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,39,69,67.73
2025-08-01T01:07:44.853597,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,50,67,69.51
2025-08-01T01:07:54.883333,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,54,61,70.73
2025-08-01T01:08:04.913332,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,61,62,73.97
2025-08-01T01:08:14.939936,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,51,68,72.07
2025-08-01T01:08:24.966586,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,55,64,74.37
2025-08-01T01:08:34.991844,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,53,61,68.36
2025-08-01T01:08:45.019386,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,59,62,77.82
2025-08-01T01:08:55.044427,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,52,63,74.75
2025-08-01T01:09:05.101462,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,51,66,73.4
2025-08-01T01:09:15.127954,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,52,64,72.15
2025-08-01T01:09:25.144229,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,54,62,70.87
2025-08-01T01:09:35.172041,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,56,62,76.77
2025-08-01T01:09:45.207469,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,56,67,75.02
2025-08-01T01:09:55.232185,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,66,62,74.23
2025-08-01T01:10:05.280037,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,55,67,68.69
2025-08-01T01:10:15.302483,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,55,62,77.07
2025-08-01T01:10:25.328224,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,64,69,77.64
2025-08-01T01:10:35.354248,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,65,69,70.28
2025-08-01T01:10:45.380586,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,62,63,76.14
2025-08-01T01:10:55.406656,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,33,60,56.7
2025-08-01T01:11:05.460490,0,NVIDIA GeForce RTX 4080 Laptop GPU,5559,12282,6445,45.26,62,61,78.46
