datetime,gpu_id,gpu_name,memory_used_mb,memory_total_mb,memory_free_mb,memory_used_percent,gpu_utilization,temperature,power_draw
2025-08-13T15:13:19.510010,0,NVIDIA GeForce RTX 4080 Laptop GPU,13,12282,11991,0.11,0,54,11.74
2025-08-13T15:13:29.533277,0,NVIDIA GeForce RTX 4080 Laptop GPU,566,12282,11437,4.61,8,54,19.94
2025-08-13T15:13:39.557900,0,NVIDIA GeForce RTX 4080 Laptop GPU,5440,12282,6563,44.29,0,53,20.93
2025-08-13T15:13:49.589361,0,NVIDIA GeForce RTX 4080 Laptop GPU,5587,12282,6416,45.49,61,59,73.88
2025-08-13T15:13:59.614690,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,65,60,78.79
2025-08-13T15:14:09.635381,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,55,65,71.54
2025-08-13T15:14:19.665682,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,55,63,71.85
2025-08-13T15:14:29.692647,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,36,63,71.59
2025-08-13T15:14:39.722679,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,49,65,73.99
2025-08-13T15:14:49.751037,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,53,65,73.89
2025-08-13T15:14:59.779256,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,46,67,73.84
2025-08-13T15:15:09.805650,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,46,65,73.02
2025-08-13T15:15:19.833599,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,45,65,72.53
2025-08-13T15:15:29.860700,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,50,65,67.98
2025-08-13T15:15:39.891590,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,61,73,71.89
