datetime,gpu_id,gpu_name,memory_used_mb,memory_total_mb,memory_free_mb,memory_used_percent,gpu_utilization,temperature,power_draw
2025-08-13T21:36:03.803211,0,NVIDIA GeForce RTX 4080 Laptop GPU,13,12282,11991,0.11,0,37,588.21
2025-08-13T21:36:13.829280,0,NVIDIA GeForce RTX 4080 Laptop GPU,2822,12282,9181,22.98,1,39,18.61
2025-08-13T21:36:23.856316,0,NVIDIA GeForce RTX 4080 Laptop GPU,5531,12282,6472,45.03,31,42,28.41
2025-08-13T21:36:33.881561,0,NVIDIA GeForce RTX 4080 Laptop GPU,5466,12282,6538,44.5,71,51,75.59
2025-08-13T21:36:43.906620,0,NVIDIA GeForce RTX 4080 Laptop GPU,5596,12282,6408,45.56,60,51,76.21
2025-08-13T21:36:53.930921,0,NVIDIA GeForce RTX 4080 Laptop GPU,5596,12282,6408,45.56,63,54,75.18
2025-08-13T21:37:03.958440,0,NVIDIA GeForce RTX 4080 Laptop GPU,5596,12282,6408,45.56,59,54,75.93
2025-08-13T21:37:13.986526,0,NVIDIA GeForce RTX 4080 Laptop GPU,5596,12282,6408,45.56,58,62,73.74
2025-08-13T21:37:24.012902,0,NVIDIA GeForce RTX 4080 Laptop GPU,5596,12282,6408,45.56,60,60,72.97
2025-08-13T21:37:34.039259,0,NVIDIA GeForce RTX 4080 Laptop GPU,5596,12282,6408,45.56,50,58,73.08
2025-08-13T21:37:44.065657,0,NVIDIA GeForce RTX 4080 Laptop GPU,5596,12282,6408,45.56,63,61,76.61
2025-08-13T21:37:54.090807,0,NVIDIA GeForce RTX 4080 Laptop GPU,5596,12282,6408,45.56,57,60,75.4
2025-08-13T21:38:04.118864,0,NVIDIA GeForce RTX 4080 Laptop GPU,5596,12282,6408,45.56,67,62,71.64
2025-08-13T21:38:14.174962,0,NVIDIA GeForce RTX 4080 Laptop GPU,5596,12282,6408,45.56,68,60,75.16
2025-08-13T21:38:24.202341,0,NVIDIA GeForce RTX 4080 Laptop GPU,5596,12282,6408,45.56,70,62,81.46
2025-08-13T21:38:34.236345,0,NVIDIA GeForce RTX 4080 Laptop GPU,5596,12282,6408,45.56,51,71,66.5
2025-08-13T21:38:44.263866,0,NVIDIA GeForce RTX 4080 Laptop GPU,5596,12282,6408,45.56,65,62,77.47
2025-08-13T21:38:54.288649,0,NVIDIA GeForce RTX 4080 Laptop GPU,5596,12282,6408,45.56,63,62,78.29
2025-08-13T21:39:04.356843,0,NVIDIA GeForce RTX 4080 Laptop GPU,5596,12282,6408,45.56,69,65,75.94
2025-08-13T21:39:14.381510,0,NVIDIA GeForce RTX 4080 Laptop GPU,5596,12282,6408,45.56,66,63,79.46
2025-08-13T21:39:24.410640,0,NVIDIA GeForce RTX 4080 Laptop GPU,5616,12282,6388,45.73,58,63,76.46
2025-08-13T21:39:34.439729,0,NVIDIA GeForce RTX 4080 Laptop GPU,5616,12282,6388,45.73,62,69,76.22
2025-08-13T21:39:44.468638,0,NVIDIA GeForce RTX 4080 Laptop GPU,5616,12282,6388,45.73,68,69,73.71
2025-08-13T21:39:54.498713,0,NVIDIA GeForce RTX 4080 Laptop GPU,5616,12282,6388,45.73,64,73,76.53
2025-08-13T21:40:04.527052,0,NVIDIA GeForce RTX 4080 Laptop GPU,5616,12282,6388,45.73,65,69,70.92
2025-08-13T21:40:14.552220,0,NVIDIA GeForce RTX 4080 Laptop GPU,5616,12282,6388,45.73,66,64,76.88
2025-08-13T21:40:24.577447,0,NVIDIA GeForce RTX 4080 Laptop GPU,5616,12282,6388,45.73,56,68,73.38
2025-08-13T21:40:34.602064,0,NVIDIA GeForce RTX 4080 Laptop GPU,5616,12282,6388,45.73,68,63,75.7
2025-08-13T21:40:44.627444,0,NVIDIA GeForce RTX 4080 Laptop GPU,5616,12282,6388,45.73,67,63,76.47
2025-08-13T21:40:54.652847,0,NVIDIA GeForce RTX 4080 Laptop GPU,5616,12282,6388,45.73,62,63,79.28
2025-08-13T21:41:04.713735,0,NVIDIA GeForce RTX 4080 Laptop GPU,5616,12282,6388,45.73,70,64,72.86
