datetime,gpu_id,gpu_name,memory_used_mb,memory_total_mb,memory_free_mb,memory_used_percent,gpu_utilization,temperature,power_draw
2025-08-14T11:38:28.459472,0,NVIDIA GeForce RTX 4080 Laptop GPU,15,12282,11988,0.12,0,49,4.14
2025-08-14T11:38:38.487625,0,NVIDIA GeForce RTX 4080 Laptop GPU,292,12282,11712,2.38,0,51,18.19
2025-08-14T11:38:48.515835,0,NVIDIA GeForce RTX 4080 Laptop GPU,4492,12282,7512,36.57,0,53,30.12
2025-08-14T11:38:58.545199,0,NVIDIA GeForce RTX 4080 Laptop GPU,5587,12282,6417,45.49,47,57,55.43
2025-08-14T11:39:08.586596,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,48,65,66.05
2025-08-14T11:39:18.616134,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,51,61,70.49
2025-08-14T11:39:28.642066,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,52,63,74.99
2025-08-14T11:39:38.673249,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,46,64,65.18
2025-08-14T11:39:48.719479,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,44,65,67.39
2025-08-14T11:50:15.294277,0,NVIDIA GeForce RTX 4080 Laptop GPU,15,12282,11988,0.12,0,48,3.9
2025-08-14T11:50:25.321149,0,NVIDIA GeForce RTX 4080 Laptop GPU,292,12282,11712,2.38,0,50,18.09
2025-08-14T11:50:35.346956,0,NVIDIA GeForce RTX 4080 Laptop GPU,4736,12282,7268,38.56,2,52,28.97
2025-08-14T11:50:45.374814,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,55,57,62.9
2025-08-14T11:50:55.399312,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,57,59,72.48
2025-08-14T11:51:05.425410,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,52,60,75.28
2025-08-14T11:51:15.460290,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,46,69,71.48
2025-08-14T11:51:25.491284,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,47,67,65.47
2025-08-14T11:51:35.516713,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,52,71,75.5
2025-08-14T11:51:45.543903,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,63,64,70.41
2025-08-14T11:51:55.581896,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,59,64,75.05
2025-08-14T11:52:05.616472,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,60,73,77.46
2025-08-14T11:52:15.652959,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,43,65,73.9
2025-08-14T11:52:25.679129,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,65,66,78.31
2025-08-14T11:52:35.704384,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,66,66,77.12
2025-08-14T11:52:45.730270,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,52,66,72.17
2025-08-14T11:52:55.761735,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,57,65,71.76
2025-08-14T11:53:05.786059,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,57,66,72.39
2025-08-14T11:53:15.820709,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,51,74,74.64
2025-08-14T11:53:25.847988,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6414,45.51,43,68,73.12
2025-08-14T11:53:35.874434,0,NVIDIA GeForce RTX 4080 Laptop GPU,5611,12282,6392,45.68,0,64,53.86
2025-08-14T11:53:45.902162,0,NVIDIA GeForce RTX 4080 Laptop GPU,5611,12282,6392,45.68,53,68,77.47
2025-08-14T11:53:55.930138,0,NVIDIA GeForce RTX 4080 Laptop GPU,5609,12282,6394,45.67,49,68,71.2
2025-08-14T11:54:05.957749,0,NVIDIA GeForce RTX 4080 Laptop GPU,5609,12282,6394,45.67,49,67,74.22
2025-08-14T11:54:15.986122,0,NVIDIA GeForce RTX 4080 Laptop GPU,5609,12282,6394,45.67,43,67,74.63
2025-08-14T11:54:26.015735,0,NVIDIA GeForce RTX 4080 Laptop GPU,5609,12282,6394,45.67,38,70,72.61
