datetime,gpu_id,gpu_name,memory_used_mb,memory_total_mb,memory_free_mb,memory_used_percent,gpu_utilization,temperature,power_draw
2025-08-13T11:47:44.715554,0,NVIDIA GeForce RTX 4080 Laptop GPU,10,12282,11994,0.08,0,39,588.21
2025-08-13T11:47:54.741080,0,NVIDIA GeForce RTX 4080 Laptop GPU,2817,12282,9186,22.94,0,40,19.7
2025-08-13T11:48:04.767075,0,NVIDIA GeForce RTX 4080 Laptop GPU,5436,12282,6567,44.26,0,42,20.02
2025-08-13T11:48:14.791481,0,NVIDIA GeForce RTX 4080 Laptop GPU,5453,12282,6551,44.4,51,49,70.12
2025-08-13T11:48:24.817859,0,NVIDIA GeForce RTX 4080 Laptop GPU,5587,12282,6417,45.49,66,56,74.16
2025-08-13T12:06:09.563832,0,NVIDIA GeForce RTX 4080 Laptop GPU,13,12282,11991,0.11,0,44,588.21
2025-08-13T12:06:19.588318,0,NVIDIA GeForce RTX 4080 Laptop GPU,3508,12282,8495,28.56,1,45,16.8
2025-08-13T12:06:29.613399,0,NVIDIA GeForce RTX 4080 Laptop GPU,5455,12282,6549,44.41,0,47,29.56
2025-08-13T12:06:39.639556,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,51,53,75.35
2025-08-13T12:06:49.667872,0,NVIDIA GeForce RTX 4080 Laptop GPU,5593,12282,6411,45.54,62,57,75.12
2025-08-13T12:06:59.696742,0,NVIDIA GeForce RTX 4080 Laptop GPU,5593,12282,6411,45.54,52,64,74.58
2025-08-13T12:07:09.759461,0,NVIDIA GeForce RTX 4080 Laptop GPU,5593,12282,6411,45.54,54,58,77.6
2025-08-13T12:07:19.784331,0,NVIDIA GeForce RTX 4080 Laptop GPU,5593,12282,6411,45.54,59,60,74.0
2025-08-13T12:07:29.809598,0,NVIDIA GeForce RTX 4080 Laptop GPU,5593,12282,6411,45.54,58,64,74.0
2025-08-13T12:07:39.834348,0,NVIDIA GeForce RTX 4080 Laptop GPU,5593,12282,6411,45.54,54,65,76.13
2025-08-13T12:07:49.860235,0,NVIDIA GeForce RTX 4080 Laptop GPU,5593,12282,6411,45.54,50,66,74.8
2025-08-13T12:07:59.933357,0,NVIDIA GeForce RTX 4080 Laptop GPU,5593,12282,6411,45.54,56,65,72.83
2025-08-13T12:08:09.966082,0,NVIDIA GeForce RTX 4080 Laptop GPU,5593,12282,6411,45.54,55,71,69.88
2025-08-13T12:08:19.995143,0,NVIDIA GeForce RTX 4080 Laptop GPU,5593,12282,6411,45.54,63,64,76.7
2025-08-13T12:08:30.020952,0,NVIDIA GeForce RTX 4080 Laptop GPU,5593,12282,6411,45.54,57,66,79.28
2025-08-13T12:08:40.046889,0,NVIDIA GeForce RTX 4080 Laptop GPU,5593,12282,6411,45.54,58,64,79.28
