datetime,gpu_id,gpu_name,memory_used_mb,memory_total_mb,memory_free_mb,memory_used_percent,gpu_utilization,temperature,power_draw
2025-08-13T11:52:49.215062,0,NVIDIA GeForce RTX 4080 Laptop GPU,10,12282,11993,0.08,0,43,588.21
2025-08-13T11:52:59.242258,0,NVIDIA GeForce RTX 4080 Laptop GPU,3506,12282,8497,28.55,0,44,18.82
2025-08-13T11:53:09.269178,0,NVIDIA GeForce RTX 4080 Laptop GPU,5455,12282,6549,44.41,0,47,30.55
2025-08-13T11:53:19.293653,0,NVIDIA GeForce RTX 4080 Laptop GPU,5587,12282,6417,45.49,65,54,72.17
2025-08-13T11:53:29.318457,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,58,55,75.0
2025-08-13T11:53:39.346601,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,58,59,65.9
2025-08-13T11:53:49.380384,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,49,64,65.68
2025-08-13T11:53:59.411605,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,52,62,67.13
2025-08-13T11:54:09.437911,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,60,62,75.47
2025-08-13T11:54:19.467985,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,61,63,69.11
2025-08-13T11:54:29.495541,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,39,64,78.13
2025-08-13T11:54:39.522049,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,55,70,70.36
2025-08-13T11:54:49.589592,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,63,68,81.34
2025-08-13T11:54:59.615573,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,60,72,72.07
2025-08-13T11:55:09.640022,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,57,65,72.33
2025-08-13T11:55:19.665116,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,45,63,75.11
2025-08-13T11:55:29.692778,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,58,64,78.48
2025-08-13T11:55:39.733299,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,64,64,75.83
2025-08-13T11:55:49.757979,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,67,64,78.87
2025-08-13T11:55:59.784745,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,63,67,74.46
2025-08-13T11:56:09.811360,0,NVIDIA GeForce RTX 4080 Laptop GPU,5589,12282,6415,45.51,57,67,70.57
2025-08-13T11:56:19.843474,0,NVIDIA GeForce RTX 4080 Laptop GPU,5611,12282,6393,45.68,54,65,76.48
2025-08-13T11:56:29.870124,0,NVIDIA GeForce RTX 4080 Laptop GPU,5611,12282,6393,45.68,52,72,68.65
2025-08-13T11:56:39.897913,0,NVIDIA GeForce RTX 4080 Laptop GPU,5611,12282,6393,45.68,53,66,71.5
2025-08-13T11:56:49.947726,0,NVIDIA GeForce RTX 4080 Laptop GPU,5611,12282,6393,45.68,71,66,77.29
2025-08-13T11:56:59.973127,0,NVIDIA GeForce RTX 4080 Laptop GPU,5611,12282,6393,45.68,60,67,76.69
2025-08-13T11:57:09.996537,0,NVIDIA GeForce RTX 4080 Laptop GPU,5611,12282,6393,45.68,66,66,74.6
2025-08-13T11:57:20.023514,0,NVIDIA GeForce RTX 4080 Laptop GPU,5611,12282,6393,45.68,72,71,69.94
2025-08-13T11:57:30.048763,0,NVIDIA GeForce RTX 4080 Laptop GPU,5611,12282,6393,45.68,66,69,75.56
2025-08-13T11:57:40.079149,0,NVIDIA GeForce RTX 4080 Laptop GPU,5611,12282,6393,45.68,57,66,83.93
2025-08-13T11:57:50.128503,0,NVIDIA GeForce RTX 4080 Laptop GPU,5611,12282,6393,45.68,70,66,85.74
2025-08-13T11:58:00.154023,0,NVIDIA GeForce RTX 4080 Laptop GPU,5611,12282,6393,45.68,59,76,79.93
2025-08-13T11:58:10.173085,0,NVIDIA GeForce RTX 4080 Laptop GPU,5611,12282,6393,45.68,65,74,74.08
2025-08-13T11:58:20.199086,0,NVIDIA GeForce RTX 4080 Laptop GPU,5611,12282,6393,45.68,56,66,77.72
2025-08-13T11:58:30.229320,0,NVIDIA GeForce RTX 4080 Laptop GPU,5611,12282,6393,45.68,66,73,76.11
