datetime,gpu_id,gpu_name,memory_used_mb,memory_total_mb,memory_free_mb,memory_used_percent,gpu_utilization,temperature,power_draw
2025-07-03T23:38:51.312923,0,NVIDIA GeForce RTX 4080 Laptop GPU,14,12282,11990,0.11,0,48,1.37
2025-07-03T23:39:01.341330,0,NVIDIA GeForce RTX 4080 Laptop GPU,290,12282,11713,2.36,0,50,18.53
2025-07-03T23:39:11.371159,0,NVIDIA GeForce RTX 4080 Laptop GPU,4781,12282,7223,38.93,0,51,18.72
2025-07-03T23:39:21.405867,0,NVIDIA GeForce RTX 4080 Laptop GPU,5571,12282,6432,45.36,27,53,27.61
2025-07-03T23:39:31.440749,0,NVIDIA GeForce RTX 4080 Laptop GPU,5571,12282,6432,45.36,24,53,26.7
2025-07-03T23:39:41.474431,0,NVIDIA GeForce RTX 4080 Laptop GPU,5571,12282,6432,45.36,33,56,31.5
2025-07-03T23:39:51.517113,0,NVIDIA GeForce RTX 4080 Laptop GPU,5571,12282,6432,45.36,22,55,33.13
2025-07-03T23:40:01.545706,0,NVIDIA GeForce RTX 4080 Laptop GPU,5571,12282,6432,45.36,34,56,29.59
2025-07-03T23:40:11.576884,0,NVIDIA GeForce RTX 4080 Laptop GPU,5571,12282,6432,45.36,32,56,30.2
2025-07-03T23:40:21.611923,0,NVIDIA GeForce RTX 4080 Laptop GPU,5571,12282,6432,45.36,32,57,28.76
2025-07-03T23:40:31.645228,0,NVIDIA GeForce RTX 4080 Laptop GPU,5571,12282,6432,45.36,31,57,29.3
2025-07-03T23:40:41.680200,0,NVIDIA GeForce RTX 4080 Laptop GPU,5571,12282,6432,45.36,32,56,29.19
2025-07-03T23:40:51.709339,0,NVIDIA GeForce RTX 4080 Laptop GPU,5571,12282,6432,45.36,26,56,28.89
2025-07-03T23:41:01.735688,0,NVIDIA GeForce RTX 4080 Laptop GPU,5571,12282,6432,45.36,31,58,51.39
