datetime,gpu_id,gpu_name,memory_used_mb,memory_total_mb,memory_free_mb,memory_used_percent,gpu_utilization,temperature,power_draw
2025-07-02T22:58:28.574502,0,NVIDIA GeForce RTX 4080 Laptop GPU,10,12282,11994,0.08,0,42,588.21
2025-07-02T22:58:38.604423,0,NVIDIA GeForce RTX 4080 Laptop GPU,1407,12282,10596,11.46,7,44,18.51
2025-07-02T22:58:48.630891,0,NVIDIA GeForce RTX 4080 Laptop GPU,5325,12282,6678,43.36,14,46,25.78
2025-07-02T22:58:58.660664,0,NVIDIA GeForce RTX 4080 Laptop GPU,5286,12282,6718,43.04,80,58,79.52
2025-07-02T22:59:08.687728,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,80,58,78.9
2025-07-02T22:59:18.716722,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,86,63,79.53
2025-07-02T22:59:28.742545,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,85,59,79.32
2025-07-02T22:59:38.771862,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,84,66,78.81
2025-07-02T22:59:48.798336,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,87,67,77.6
2025-07-02T22:59:58.831293,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,82,66,79.27
2025-07-02T23:00:08.857426,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,87,65,79.83
2025-07-02T23:00:18.884983,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,83,66,79.18
2025-07-02T23:00:28.913555,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,86,67,79.23
2025-07-02T23:00:38.941420,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,78,69,77.03
2025-07-02T23:00:48.972219,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,86,64,77.42
2025-07-02T23:00:58.999414,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,87,66,79.05
2025-07-02T23:01:09.029102,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,87,67,79.7
2025-07-02T23:01:19.055811,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,82,66,77.9
2025-07-02T23:01:29.093119,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,87,71,78.54
2025-07-02T23:01:39.121294,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,83,69,77.7
2025-07-02T23:01:49.148031,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,83,66,80.32
2025-07-02T23:01:59.175572,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,86,69,78.61
2025-07-02T23:02:09.206210,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,86,70,76.82
2025-07-02T23:02:19.233472,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,82,69,79.41
2025-07-02T23:02:29.270429,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,86,68,80.02
2025-07-02T23:02:39.298928,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,82,70,80.2
2025-07-02T23:02:49.327193,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,84,70,80.75
2025-07-02T23:02:59.353739,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,89,67,79.44
2025-07-02T23:03:09.378880,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,89,69,79.67
2025-07-02T23:03:19.404374,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,89,70,78.61
2025-07-02T23:03:29.429251,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,85,70,78.74
2025-07-02T23:03:39.467785,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,88,66,79.96
2025-07-02T23:03:49.503161,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,85,67,79.57
2025-07-02T23:03:59.528330,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,86,67,78.35
2025-07-02T23:04:09.553593,0,NVIDIA GeForce RTX 4080 Laptop GPU,5310,12282,6694,43.23,90,69,79.25
