datetime,gpu_id,gpu_name,memory_used_mb,memory_total_mb,memory_free_mb,memory_used_percent,gpu_utilization,temperature,power_draw
2025-07-03T10:38:00.094233,0,NVIDIA GeForce RTX 4080 Laptop GPU,10,12282,11993,0.08,0,48,588.21
2025-07-03T10:38:10.120585,0,NVIDIA GeForce RTX 4080 Laptop GPU,3502,12282,8502,28.51,0,49,19.48
2025-07-03T10:38:20.145975,0,NVIDIA GeForce RTX 4080 Laptop GPU,5266,12282,6738,42.88,73,58,74.42
2025-07-03T10:38:30.170704,0,NVIDIA GeForce RTX 4080 Laptop GPU,5290,12282,6714,43.07,59,58,59.98
2025-07-03T10:38:40.201545,0,NVIDIA GeForce RTX 4080 Laptop GPU,5292,12282,6712,43.09,43,62,73.36
2025-07-03T10:38:50.230398,0,NVIDIA GeForce RTX 4080 Laptop GPU,5292,12282,6712,43.09,69,63,73.65
2025-07-03T10:39:00.292320,0,NVIDIA GeForce RTX 4080 Laptop GPU,5292,12282,6712,43.09,57,65,77.09
2025-07-03T10:39:10.322403,0,NVIDIA GeForce RTX 4080 Laptop GPU,5292,12282,6712,43.09,59,63,74.11
2025-07-03T10:39:20.352762,0,NVIDIA GeForce RTX 4080 Laptop GPU,5292,12282,6712,43.09,64,65,76.06
2025-07-03T10:39:30.378360,0,NVIDIA GeForce RTX 4080 Laptop GPU,5290,12282,6714,43.07,59,68,75.98
2025-07-03T10:39:40.412302,0,NVIDIA GeForce RTX 4080 Laptop GPU,5292,12282,6712,43.09,65,65,76.3
