datetime,gpu_id,gpu_name,memory_used_mb,memory_total_mb,memory_free_mb,memory_used_percent,gpu_utilization,temperature,power_draw
2025-07-02T13:03:56.500630,0,NVIDIA GeForce RTX 4080 Laptop GPU,13,12282,11991,0.11,0,47,2.21
2025-07-02T13:04:06.529334,0,NVIDIA GeForce RTX 4080 Laptop GPU,302,12282,11702,2.46,0,49,17.86
2025-07-02T13:04:16.558558,0,NVIDIA GeForce RTX 4080 Laptop GPU,5993,12282,6011,48.79,30,50,20.86
2025-07-02T13:04:26.587204,0,NVIDIA GeForce RTX 4080 Laptop GPU,6365,12282,5638,51.82,52,57,74.72
2025-07-02T13:04:36.617876,0,NVIDIA GeForce RTX 4080 Laptop GPU,6365,12282,5638,51.82,53,59,74.27
2025-07-02T13:04:46.641910,0,NVIDIA GeForce RTX 4080 Laptop GPU,6365,12282,5638,51.82,59,61,78.9
2025-07-02T13:04:56.673518,0,NVIDIA GeForce RTX 4080 Laptop GPU,6365,12282,5638,51.82,56,61,70.69
2025-07-02T13:05:06.700792,0,NVIDIA GeForce RTX 4080 Laptop GPU,6365,12282,5638,51.82,57,67,75.02
2025-07-02T13:05:16.725151,0,NVIDIA GeForce RTX 4080 Laptop GPU,6365,12282,5638,51.82,59,65,75.66
2025-07-02T13:05:26.750950,0,NVIDIA GeForce RTX 4080 Laptop GPU,6365,12282,5638,51.82,50,65,74.81
2025-07-02T13:05:36.777603,0,NVIDIA GeForce RTX 4080 Laptop GPU,6365,12282,5638,51.82,54,65,76.01
2025-07-02T13:05:46.805486,0,NVIDIA GeForce RTX 4080 Laptop GPU,6395,12282,5608,52.07,46,65,76.59
2025-07-02T13:05:56.831064,0,NVIDIA GeForce RTX 4080 Laptop GPU,6395,12282,5608,52.07,42,66,74.95
2025-07-02T13:06:06.854938,0,NVIDIA GeForce RTX 4080 Laptop GPU,6395,12282,5608,52.07,53,66,78.9
2025-07-02T13:06:16.881443,0,NVIDIA GeForce RTX 4080 Laptop GPU,6391,12282,5612,52.04,39,66,67.59
2025-07-02T13:06:26.908231,0,NVIDIA GeForce RTX 4080 Laptop GPU,6391,12282,5612,52.04,55,68,80.95
2025-07-02T13:06:36.935918,0,NVIDIA GeForce RTX 4080 Laptop GPU,6391,12282,5612,52.04,51,66,78.97
2025-07-02T13:06:46.961185,0,NVIDIA GeForce RTX 4080 Laptop GPU,6391,12282,5612,52.04,55,66,77.6
2025-07-02T13:06:56.998104,0,NVIDIA GeForce RTX 4080 Laptop GPU,6391,12282,5612,52.04,53,67,74.26
2025-07-02T13:07:07.025391,0,NVIDIA GeForce RTX 4080 Laptop GPU,6391,12282,5612,52.04,55,67,68.16
2025-07-02T13:07:17.051635,0,NVIDIA GeForce RTX 4080 Laptop GPU,6391,12282,5612,52.04,42,66,73.72
2025-07-02T13:07:27.076840,0,NVIDIA GeForce RTX 4080 Laptop GPU,6391,12282,5612,52.04,55,72,81.4
2025-07-02T13:07:37.101461,0,NVIDIA GeForce RTX 4080 Laptop GPU,6391,12282,5612,52.04,49,67,80.48
2025-07-02T13:07:47.126850,0,NVIDIA GeForce RTX 4080 Laptop GPU,6391,12282,5612,52.04,48,69,79.36
2025-07-02T13:07:57.155700,0,NVIDIA GeForce RTX 4080 Laptop GPU,6391,12282,5612,52.04,57,68,80.39
2025-07-02T13:08:07.183613,0,NVIDIA GeForce RTX 4080 Laptop GPU,6391,12282,5612,52.04,48,71,74.22
2025-07-02T13:08:17.212118,0,NVIDIA GeForce RTX 4080 Laptop GPU,6391,12282,5612,52.04,52,70,79.68
2025-07-02T13:08:27.231128,0,NVIDIA GeForce RTX 4080 Laptop GPU,6391,12282,5612,52.04,63,72,80.6
2025-07-02T13:08:37.255357,0,NVIDIA GeForce RTX 4080 Laptop GPU,6391,12282,5612,52.04,54,68,76.26
2025-07-02T13:08:47.288197,0,NVIDIA GeForce RTX 4080 Laptop GPU,6395,12282,5608,52.07,49,69,79.88
2025-07-02T13:08:57.314466,0,NVIDIA GeForce RTX 4080 Laptop GPU,6395,12282,5608,52.07,62,67,78.0
2025-07-02T13:09:07.354614,0,NVIDIA GeForce RTX 4080 Laptop GPU,6395,12282,5608,52.07,62,66,80.58
2025-07-02T13:09:17.380691,0,NVIDIA GeForce RTX 4080 Laptop GPU,6393,12282,5610,52.05,64,66,76.41
2025-07-02T13:09:27.407290,0,NVIDIA GeForce RTX 4080 Laptop GPU,6393,12282,5610,52.05,51,69,80.58
2025-07-02T13:09:37.432720,0,NVIDIA GeForce RTX 4080 Laptop GPU,6393,12282,5610,52.05,56,66,78.93
2025-07-02T13:09:47.457980,0,NVIDIA GeForce RTX 4080 Laptop GPU,6393,12282,5610,52.05,53,66,79.18
2025-07-02T13:09:57.485643,0,NVIDIA GeForce RTX 4080 Laptop GPU,6393,12282,5610,52.05,49,70,73.14
2025-07-02T13:10:07.510742,0,NVIDIA GeForce RTX 4080 Laptop GPU,6393,12282,5610,52.05,59,66,76.21
2025-07-02T13:10:17.551759,0,NVIDIA GeForce RTX 4080 Laptop GPU,6395,12282,5608,52.07,51,68,77.95
2025-07-02T13:10:27.580689,0,NVIDIA GeForce RTX 4080 Laptop GPU,6391,12282,5612,52.04,53,70,80.89
2025-07-02T13:10:37.610942,0,NVIDIA GeForce RTX 4080 Laptop GPU,6391,12282,5612,52.04,45,66,78.55
