split,image_path,width,height,near,far
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00000.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00001.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00002.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00003.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00004.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00005.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00006.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00007.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00008.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00009.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00010.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00011.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00012.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00013.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00014.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00015.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00016.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00017.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00018.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00019.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00020.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00021.png,480,270,0.4,20.0
train,datasets/static_frames_480x270/train/episode_0390_static_depth_L20_f00022.png,480,270,0.4,20.0
